phenotype_a,phenotype_b,edge_count,edge_fraction
myeloid_macrophage_like,myeloid_macrophage_like,13250,0.03751012065519565
myeloid_macrophage_like,plasma_myeloma_like,13778,0.039004863576398915
myeloid_macrophage_like,proliferating_like,6504,0.018412515074822073
myeloid_macrophage_like,stromal_bone_like,10304,0.029170134583481958
myeloid_macrophage_like,t_cell_like,19058,0.0539522927884316
myeloid_macrophage_like,unassigned,20072,0.056822878625742416
plasma_myeloma_like,plasma_myeloma_like,22730,0.06434755037679978
plasma_myeloma_like,proliferating_like,6848,0.01938636273560602
plasma_myeloma_like,stromal_bone_like,13056,0.03696091586975354
plasma_myeloma_like,t_cell_like,19092,0.05404854517350908
plasma_myeloma_like,unassigned,20148,0.05703803101591561
proliferating_like,proliferating_like,7894,0.02234753905298977
proliferating_like,stromal_bone_like,2990,0.008464547981813961
proliferating_like,t_cell_like,12572,0.03559073485865054
proliferating_like,unassigned,18498,0.0523669593871554
stromal_bone_like,stromal_bone_like,11340,0.03210300137584292
stromal_bone_like,t_cell_like,8466,0.02396684388429331
stromal_bone_like,unassigned,8464,0.023961181979288752
t_cell_like,t_cell_like,34028,0.09633165174754697
t_cell_like,unassigned,31572,0.08937883240194996
unassigned,unassigned,52574,0.14883449685481176
