phenotype_a,phenotype_b,observed_edges,expected_edges,observed_expected_ratio
myeloid_macrophage_like,myeloid_macrophage_like,13250,6264.944421965125,2.1149429440339507
myeloid_macrophage_like,plasma_myeloma_like,13778,14872.084100140393,0.9264337067506184
myeloid_macrophage_like,proliferating_like,6504,7992.955256015608,0.8137165530990556
myeloid_macrophage_like,stromal_bone_like,10304,9389.846299769943,1.0973555552504044
myeloid_macrophage_like,t_cell_like,19058,20470.180912622418,0.9310127781161117
myeloid_macrophage_like,unassigned,20072,28830.46190021904,0.6962080617878517
plasma_myeloma_like,plasma_myeloma_like,22730,8826.051381485022,2.5753305773499338
plasma_myeloma_like,proliferating_like,6848,9487.06762340573,0.721824727285085
plasma_myeloma_like,stromal_bone_like,13056,11145.077629736397,1.1714588658552754
plasma_myeloma_like,t_cell_like,19092,24296.64427750161,0.7857875261267645
plasma_myeloma_like,unassigned,20148,34219.70133706781,0.5887836308546351
proliferating_like,proliferating_like,7894,2549.397465549583,3.096417920968734
proliferating_like,stromal_bone_like,2990,5989.887242398165,0.4991746720766144
proliferating_like,t_cell_like,12572,13058.155755020563,0.9627699528064178
proliferating_like,unassigned,18498,18391.271849976863,1.0058031957166285
stromal_bone_like,stromal_bone_like,11340,3518.355774401557,3.2230964482063613
stromal_bone_like,t_cell_like,8466,15340.267969824848,0.5518808417592892
stromal_bone_like,unassigned,8464,21605.427579317246,0.3917534132998386
t_cell_like,t_cell_like,34028,16721.150195936396,2.035027471272254
t_cell_like,unassigned,31572,47100.55917039043,0.6703105134226858
unassigned,unassigned,52574,33168.51185725526,1.5850575457306806
